STITCH 1,STITCH 2,Polypharmacy Side Effect,Side Effect Name
CID000003348,CID000047725,C0043096,loss of weight
CID000003348,CID000004485,C0008325,cholecystitis
CID000003348,CID000119607,C0008325,cholecystitis
CID000003348,CID004475485,C0497156,Adenopathy
CID000003348,CID000024011,C0019209,enlarged liver
CID000003348,CID000003914,C0043094,weight gain
CID000003348,CID000005408,C0037195,Sinus headache
CID000003348,CID000005402,C0016470,food allergy
CID000003348,CID000005401,C0017152,gastric inflammation
CID000003348,CID000003494,C0013221,drug toxicity NOS
CID000003348,CID000032797,C0004604,Back Ache
CID000003348,CID000004506,C0022346,icterus
CID000003348,CID000012536,C0038454,apoplexy
CID000003348,CID000003419,C0017152,gastric inflammation
CID000003348,CID000005078,C0017152,gastric inflammation
CID000003348,CID000038904,C0041834,erythema
CID000003348,CID000003869,C0151636,Extrasystoles Ventricular
CID000003348,CID000004845,C0231807,Dyspnea exertional
CID000003348,CID000005717,C0017152,gastric inflammation
CID000003348,CID000005512,C0017152,gastric inflammation
CID000003348,CID000005514,C0017152,gastric inflammation
CID000003348,CID000003750,C0013221,drug toxicity NOS
CID000003348,CID000004585,C0008325,cholecystitis
CID000003348,CID000003516,C0017152,gastric inflammation
CID000003348,CID000003510,C0042384,angiitis
CID000003348,CID000004599,C0263912,rotator cuff syndrome
CID000003348,CID000005245,C0017152,gastric inflammation
CID000003348,CID005481350,C0043096,loss of weight
CID000003348,CID000005372,C0026986,myelodysplasia
CID000003348,CID000060871,C0020502,hyperparathyroidism
CID000003348,CID000004264,C0038454,apoplexy
CID000003348,CID000104865,C0011615,allergic dermatitis
CID000003348,CID000004614,C0038454,apoplexy
CID000003348,CID000004542,C0000786,abortion spontaneous
CID000003348,CID000004547,C0038454,apoplexy
CID000003348,CID000054688,C0008325,cholecystitis
CID000003348,CID000003652,C0017152,gastric inflammation
CID000003348,CID000060198,C0043096,loss of weight
CID000003348,CID000004513,C0017152,gastric inflammation
CID000003348,CID000156419,C0043096,loss of weight
CID000003348,CID000110635,C0041834,erythema
CID000003348,CID005311027,C0043096,loss of weight
CID000003348,CID000016231,C0038454,apoplexy
CID000003348,CID005329102,C0042384,angiitis
CID000003348,CID005311181,C0036421,Scleroderma
CID000003348,CID000004873,C0008325,cholecystitis
CID000003348,CID000004463,C0271650,Glucose intolerance
CID000003348,CID003468412,C0017152,gastric inflammation
CID000003348,CID000003463,C0008325,cholecystitis
CID000003348,CID000003461,C0041834,erythema
CID000003348,CID000003467,C0522055,abnormal ECG
CID000003348,CID000004112,C0008320,cholecystectomies
CID000003348,CID000003702,C0017152,gastric inflammation
CID000003348,CID000003706,C0038454,apoplexy
CID000003348,CID000004634,C0017152,gastric inflammation
CID000003348,CID000004091,C0017152,gastric inflammation
CID000003348,CID000005291,C0038454,apoplexy
CID000003348,CID000443871,C0042384,angiitis
CID000003348,CID000004159,C0008325,cholecystitis
CID000003348,CID000003780,C0038454,apoplexy
CID000003348,CID000003784,C0043096,loss of weight
CID000003348,CID000148211,C0043096,loss of weight
CID000003348,CID000004253,C0008325,cholecystitis
CID000003348,CID000004259,C0041834,erythema
CID000003348,CID000003410,C0702166,Acne
CID000003348,CID000004900,C0017152,gastric inflammation
CID000003348,CID000005212,C0017152,gastric inflammation
CID000003348,CID000005210,C0038454,apoplexy
CID000003348,CID000005155,C0497156,Adenopathy
CID000003348,CID003085017,C0041834,erythema
CID000003348,CID000005394,C0042384,angiitis
CID000003348,CID000041317,C0040034,thrombocytopenia
CID000003348,CID000019090,C0041834,erythema
CID000003348,CID000123606,C0020443,elevated cholesterol
CID000003348,CID000004829,C0497156,Adenopathy
CID000003348,CID000072938,C0043096,loss of weight
CID000003348,CID000065999,C0013362,dysarthria
CID000003348,CID006435110,C0015230,eruption
CID000003348,CID000059708,C0004604,Back Ache
CID000003348,CID000068844,C0040034,thrombocytopenia
CID000003348,CID000054547,C0018099,gout
CID000003348,CID000004666,C0041834,erythema
CID000003348,CID000004595,C0017152,gastric inflammation
CID000003348,CID000003385,C0497156,Adenopathy
CID000003348,CID000060184,C0038454,apoplexy
CID000003348,CID000004168,C0017152,gastric inflammation
CID000003348,CID000004205,C0008325,cholecystitis
CID000003348,CID000004499,C0085680,hypochloraemia
CID000003348,CID000005719,C0008325,cholecystitis
CID000003348,CID000034312,C0041834,erythema
CID000003348,CID000125017,C0549473,thyroid cancer
CID000003348,CID000087177,C0017152,gastric inflammation
CID000003348,CID003002190,C0004604,Back Ache
CID000003348,CID000068740,C0041834,erythema
CID000003348,CID000006691,C0017152,gastric inflammation
CID000003348,CID000004609,C0497156,Adenopathy
CID000003348,CID000004856,C0011854,insulin dependent diabetes mellitus
CID000003348,CID000005184,C0031099,periodontitis
CID000003348,CID000041774,C0043096,loss of weight
CID000003348,CID000005426,C0011615,allergic dermatitis
CID000003348,CID000004138,C0013604,edema
CID000003348,CID000003403,C0013221,drug toxicity NOS
CID000003348,CID000003404,C0043096,loss of weight
CID000003348,CID000005578,C0020443,elevated cholesterol
CID000003348,CID000057537,C0043096,loss of weight
CID000003348,CID000005038,C0004601,back injury
CID000003348,CID000005039,C0017152,gastric inflammation
CID000003348,CID000060843,C0009806,constipated
CID000003348,CID000003957,C0008325,cholecystitis
CID000003348,CID000054808,C0038454,apoplexy
CID000003348,CID006398970,C0041834,erythema
CID000003348,CID000004075,C0017152,gastric inflammation
CID000003348,CID000216239,C0040034,thrombocytopenia
CID000003348,CID000004927,C0017152,gastric inflammation
CID000003348,CID000072054,C0006444,bursitis
CID000003348,CID005353980,C0017152,gastric inflammation
CID000003348,CID000005152,C0699744,ear infection
CID000003348,CID000160051,C0043096,loss of weight
CID000003348,CID000091270,C0086543,cataract
CID000003348,CID000005234,C0017152,gastric inflammation
CID000003348,CID000003642,C0037195,Sinus headache
CID000003348,CID000003640,C0008325,cholecystitis
CID000003348,CID000003382,C0011615,allergic dermatitis
CID000003348,CID000004052,C0008325,cholecystitis
CID000003348,CID000005379,C0004601,back injury
CID000003348,CID000004058,C0011854,insulin dependent diabetes mellitus
CID000003348,CID000005095,C0017152,gastric inflammation
CID000003348,CID000005656,C0008325,cholecystitis
CID000003348,CID000005651,C0085680,hypochloraemia
CID000003348,CID000003379,C0043094,weight gain
CID000003348,CID000004158,C0016663,Bone Fracture Spontaneous
CID000003348,CID000060831,C0017152,gastric inflammation
CID000003348,CID000123620,C0017152,gastric inflammation
CID000003348,CID000003672,C0702166,Acne
CID000003348,CID000667490,C0011168,deglutition disorder
CID000003348,CID000176870,C0041834,erythema
CID000003348,CID000003715,C0004601,back injury
CID000003348,CID000005523,C0008325,cholecystitis
CID000003348,CID000004603,C0017152,gastric inflammation
CID000003348,CID000003827,C0008320,cholecystectomies
CID000003348,CID000003826,C0017152,gastric inflammation
CID000003348,CID000003825,C0038454,apoplexy
CID000003348,CID000004889,C0497156,Adenopathy
CID000003348,CID000004885,C0041834,erythema
CID000003348,CID000027686,C0017152,gastric inflammation
CID000003348,CID000003793,C0043096,loss of weight
CID000002617,CID000008953,C0497156,Adenopathy
CID000002617,CID000004168,C0497156,Adenopathy
CID000002617,CID000003734,C0015230,eruption
CID000002617,CID000042113,C0019158,hepatitis
CID000002617,CID000002658,C0013362,dysarthria
CID000002617,CID000002656,C0038525,subarachnoid haemorrhage
CID000002617,CID000002650,C0041834,erythema
CID000002617,CID000004691,C0041834,erythema
CID000002617,CID000002764,C0041834,erythema
CID000002617,CID000003168,C0043096,loss of weight
CID000002617,CID000003640,C0011615,allergic dermatitis
CID000002617,CID000041693,C0011615,allergic dermatitis
CID000002617,CID000004900,C0497156,Adenopathy
CID000002617,CID000006691,C0017152,gastric inflammation
CID000002617,CID000003767,C0009676,confusion
CID000002617,CID000005496,C0041834,erythema
CID000002617,CID000003440,C0026986,myelodysplasia
CID000002617,CID000093860,C0041834,erythema
CID000002617,CID000005656,C0008325,cholecystitis
CID000002617,CID000005651,C0497156,Adenopathy
CID000002617,CID000003157,C0040034,thrombocytopenia
CID000002617,CID000004409,C0013362,dysarthria
CID000002617,CID000002909,C0151611,abnormal EEG
CID000002617,CID000003062,C0020538,High blood pressure
CID000002617,CID000005038,C0008325,cholecystitis
CID000002617,CID000005039,C0497156,Adenopathy
CID000002617,CID000004812,C0038454,apoplexy
CID000002617,CID000004485,C0020461,Excess potassium
CID000002617,CID000004259,C0042384,angiitis
CID000002617,CID000003793,C0004610,Bacteraemia
CID000002617,CID000004894,C0013221,drug toxicity NOS
CID000002617,CID000003715,C0012833,dizziness
CID000002617,CID000002678,C0042384,angiitis
CID000002617,CID000004674,C0001969,Alcoholic intoxication
CID000002617,CID000005234,C0750426,increased white blood cell count
CID000002617,CID000002955,C0011168,deglutition disorder
CID000002617,CID000003516,C0009806,constipated
CID000002617,CID000003510,C0522055,abnormal ECG
CID000002617,CID000005002,C0013362,dysarthria
CID000002617,CID005481350,C0020538,High blood pressure
CID000002617,CID000036339,C0040034,thrombocytopenia
CID000002617,CID000003661,C0038454,apoplexy
CID000002617,CID000003032,C0034888,rectal prolapse
CID000002617,CID000091270,C0043096,loss of weight
CID000002617,CID000056339,C0041834,erythema
CID000002617,CID000004253,C0497156,Adenopathy
CID000002617,CID000003203,C0020538,High blood pressure
CID000002617,CID000005372,C0151611,abnormal EEG
CID000002617,CID000005379,C0039231,heart rate increased
CID000002617,CID000004547,C0043096,loss of weight
CID000002617,CID000005512,C0043096,loss of weight
CID000002617,CID000002622,C0018965,blood in urine
CID000002617,CID000003467,C0013362,dysarthria
CID000002617,CID000003325,C1260880,rhinorrhea
CID000002617,CID000005245,C0750426,increased white blood cell count
CID000002617,CID000027661,C0041834,erythema
CID000002617,CID000002662,C0497156,Adenopathy
CID000002617,CID000004091,C0017152,gastric inflammation
CID000002617,CID000443871,C0042963,emesis
CID000002617,CID000004425,C0001969,Alcoholic intoxication
CID000002617,CID000005771,C0040034,thrombocytopenia
CID000002617,CID003085017,C0002064,respiratory alkalosis
CID000002617,CID000004834,C0497156,Adenopathy
CID000002617,CID000004205,C0043096,loss of weight
CID000002617,CID000068740,C0041834,erythema
CID000002617,CID000002806,C0497156,Adenopathy
CID000002617,CID000004539,C0013221,drug toxicity NOS
CID000002617,CID000003255,C0042384,angiitis
CID000002617,CID000005155,C0011168,deglutition disorder
CID000002617,CID000004112,C0013221,drug toxicity NOS
CID000002617,CID000003478,C0037052,sick sinus syndrome
CID000002617,CID000004595,C0017152,gastric inflammation
CID000002617,CID000005647,C0022661,Chronic Kidney Disease
CID000002617,CID000054688,C0013604,edema
CID000002617,CID000003121,C0013221,drug toxicity NOS
CID000002617,CID000005401,C0043096,loss of weight
CID000002617,CID000024486,C0231807,Dyspnea exertional
CID000002617,CID000003869,C0497156,Adenopathy
CID000002617,CID000005978,C0041834,erythema
CID000002617,CID000028112,C0039231,heart rate increased
CID000002617,CID000004943,C0041834,erythema
CID000002617,CID000004236,C0006444,bursitis
CID000002617,CID000005523,C0750426,increased white blood cell count
CID000002617,CID000087177,C0041834,erythema
CID000002617,CID000003825,C0030193,Pain
CID000002617,CID000003826,C0004144,atelectasis
CID000002617,CID000003016,C0041834,erythema
CID000002617,CID000004829,C0013362,dysarthria
CID000002617,CID000003222,C0041834,erythema
CID000002617,CID000003403,C0003504,aortic regurgitation
CID000002617,CID000004173,C0041834,erythema
CID000002617,CID000004170,C0011168,deglutition disorder
CID000002617,CID000004171,C0041834,erythema
CID000002617,CID003468412,C0013221,drug toxicity NOS
CID000002617,CID000002646,C0004610,Bacteraemia
CID000002617,CID000003937,C0017152,gastric inflammation
CID000002617,CID000002771,C0041834,erythema
CID000002617,CID000060696,C0011615,allergic dermatitis
CID000002617,CID000005719,C0004144,atelectasis
CID000002617,CID000060815,C0042384,angiitis
CID000002617,CID000004607,C0040034,thrombocytopenia
CID000002617,CID000004603,C0040034,thrombocytopenia
CID000002617,CID000003385,C0497156,Adenopathy
CID000002617,CID000003877,C0008325,cholecystitis
CID000002617,CID000060612,C0018989,hemiparesis
CID000002617,CID000004264,C0042384,angiitis
CID000002617,CID000054547,C0750426,increased white blood cell count
CID000002617,CID000119607,C0013362,dysarthria
CID000002617,CID000123620,C0042384,angiitis
CID000002617,CID000003750,C0006840,Candida Infection
CID000002617,CID000002637,C0004610,Bacteraemia
CID000002617,CID000003454,C0497156,Adenopathy
CID000002617,CID000003339,C0032285,neumonia
CID000002617,CID000003333,C0428977,bradycardia
CID000002617,CID000003559,C0038454,apoplexy
CID000002617,CID000004473,C0151699,haemorrhage intracranial
CID000002617,CID000003148,C0235896,lung infiltration
CID000002617,CID000003143,C0231807,Dyspnea exertional
CID000002617,CID000003961,C0042384,angiitis
CID000002617,CID000003962,C0040034,thrombocytopenia
CID000002617,CID000005040,C0520474,aseptic necrosis bone
CID000002617,CID000003676,C0008325,cholecystitis
CID000002617,CID000003494,C0007642,cellulitis
CID000002617,CID005311297,C0497247,arterial pressure NOS increased
CID000002617,CID000156419,C0428977,bradycardia
CID000002617,CID000004927,C0497156,Adenopathy
CID000002617,CID000060147,C0043096,loss of weight
CID000002617,CID000002786,C0497156,Adenopathy
CID000002617,CID000003780,C0428977,bradycardia
CID000002617,CID000004889,C0043096,loss of weight
CID000002617,CID000047320,C0015230,eruption
CID000002617,CID000003461,C0004610,Bacteraemia
CID000002617,CID000003463,C0038454,apoplexy
CID000002617,CID000004158,C0043096,loss of weight
CID000002617,CID000004159,C0151611,abnormal EEG
CID000002617,CID000041774,C0015230,eruption
CID000002617,CID000002891,C0750426,increased white blood cell count
CID000002617,CID000002895,C0041834,erythema
CID000002617,CID000004585,C0030319,panic disorder
CID000002617,CID000004583,C0017152,gastric inflammation
CID000002617,CID000002666,C0042384,angiitis
CID000002617,CID000005478,C0040034,thrombocytopenia
CID000002617,CID000071273,C0042384,angiitis
CID000002617,CID000003957,C0041834,erythema
CID000002617,CID000004052,C0042384,angiitis
CID000002617,CID005311082,C0011168,deglutition disorder
CID000002617,CID000005203,C0043094,weight gain
CID000002617,CID000002756,C0041834,erythema
CID000002617,CID000005732,C0497156,Adenopathy
CID000002617,CID006398970,C0040034,thrombocytopenia
CID000002617,CID000003672,C0013456,ear ache
CID000002617,CID000005533,C0042384,angiitis
CID000002617,CID000004058,C0013221,drug toxicity NOS
CID000002617,CID000003003,C0497156,Adenopathy
CID000002617,CID000004873,C0041834,erythema
CID000001986,CID000006691,C0035078,kidney failure
CID000001986,CID000003367,C0043094,weight gain
CID000001986,CID000003640,C0032285,neumonia
CID000001986,CID000003478,C0010054,arteriosclerotic heart disease
CID000001986,CID000002269,C0029925,Ovarian cancer
CID000001986,CID000008953,C0001122,Acidosis
CID000001986,CID000004091,C0004604,Back Ache
CID000001986,CID000003003,C0013221,drug toxicity NOS
CID000001986,CID000004253,C0151904,Aspartate Aminotransferase Increase
CID000001986,CID000004834,C0032285,neumonia
CID000001986,CID000004112,C0011615,allergic dermatitis
CID000001986,CID000003154,C0013221,drug toxicity NOS
CID000001986,CID000003310,C0040034,thrombocytopenia
CID000001986,CID000002162,C0043096,loss of weight
CID000001986,CID000002764,C0018099,gout
CID000001986,CID000004900,C0018944,haematoma
CID000001986,CID000002678,C0232492,abdominal pain upper
CID000001986,CID000004583,C0018099,gout
CID000001986,CID000002284,C1260880,rhinorrhea
CID000001986,CID000003661,C0017601,glaucoma
CID000001986,CID000003062,C0017601,glaucoma
CID000001986,CID000060831,C0043096,loss of weight
CID000001986,CID000003559,C0009676,confusion
CID000001986,CID000004173,C0750426,increased white blood cell count
CID000001986,CID000004171,C0013221,drug toxicity NOS
CID000001986,CID000003385,C0011168,deglutition disorder
CID000001986,CID000038904,C0040034,thrombocytopenia
CID000001986,CID000004885,C0398353,Hypoventilation
CID000001986,CID000004259,C0017601,glaucoma
CID000001986,CID000002022,C0015230,eruption
CID000001986,CID000005478,C0013221,drug toxicity NOS
CID000001986,CID000003121,C0041834,erythema
CID000001986,CID000003325,C0004604,Back Ache
CID000001986,CID000002806,C0026848,muscle disorder
CID000001986,CID000003467,C0004610,Bacteraemia
CID000001986,CID000002520,C0027497,nausea
CID000001986,CID000004159,C0043096,loss of weight
CID000001986,CID000003878,C0019521,hiccough
CID000001986,CID000059708,C0009676,confusion
CID000001986,CID000005203,C0017601,glaucoma
CID000001986,CID000004943,C0011615,allergic dermatitis
CID000001986,CID000005732,C0231807,Dyspnea exertional
CID000001986,CID000003440,C0041834,erythema
CID000001986,CID000004691,C0018946,hematoma subdural
CID000001986,CID000003937,C0018099,gout
CID000001986,CID000003016,C0030193,Pain
CID000001986,CID000004168,C0004604,Back Ache
CID000001986,CID000002435,C0018099,gout
CID000001986,CID000002083,C0004604,Back Ache
CID000001986,CID000005514,C0013221,drug toxicity NOS
CID000001986,CID000004873,C0018099,gout
CID000001986,CID000002771,C0004604,Back Ache
CID000001986,CID000005496,C0018099,gout
CID000001986,CID000002244,C0010054,arteriosclerotic heart disease
CID000001986,CID000002249,C0018099,gout
CID000001986,CID000004894,C0018099,gout
CID000001986,CID000003962,C0010054,arteriosclerotic heart disease
CID000001986,CID000004812,C0151904,Aspartate Aminotransferase Increase
CID000001986,CID000004819,C0013221,drug toxicity NOS
CID000001986,CID000003454,C0015230,eruption
CID000001986,CID000002666,C0018099,gout
CID000001986,CID000002662,C0030193,Pain
CID000001986,CID000005651,C0151904,Aspartate Aminotransferase Increase
CID000001986,CID000002142,C0030193,Pain
CID000001986,CID000005039,C0043094,weight gain
CID000001986,CID000003676,C0015300,exophthalmos
CID000001986,CID000002650,C0015230,eruption
CID000006691,CID000444013,C0041834,erythema
CID000006691,CID000060787,C0043094,weight gain
CID000006691,CID006447131,C0002792,anaphylactic reaction
CID000006691,CID005282044,C0040034,thrombocytopenia
CID000006691,CID005493444,C0041834,erythema
CID000006691,CID000036339,C0041834,erythema
CID000006691,CID000119607,C0311394,difficulty in walking
CID000006691,CID000156419,C0042384,angiitis
CID000006691,CID000123620,C0008325,cholecystitis
CID000006691,CID003085017,C0041834,erythema
CID000006691,CID000060835,C0026986,myelodysplasia
CID000006691,CID005311027,C0497156,Adenopathy
CID000006691,CID000154059,C0042384,angiitis
CID000006691,CID000148211,C0008325,cholecystitis
CID000006691,CID005311181,C0497156,Adenopathy
CID000006691,CID005329102,C0041834,erythema
CID000006691,CID000068740,C0017152,gastric inflammation
CID000006691,CID003468412,C0017152,gastric inflammation
CID000006691,CID000060843,C0022572,keratoacanthomas
CID000006691,CID000082146,C0040034,thrombocytopenia
CID000006691,CID000065999,C0041834,erythema
CID000006691,CID000054374,C0497156,Adenopathy
CID000006691,CID000041781,C0026986,myelodysplasia
CID000006691,CID000024486,C0017152,gastric inflammation
CID000006691,CID000060852,C0041834,erythema
CID000006691,CID000060831,C0341858,adenomyosis
CID000006691,CID000054808,C0035222,Acute Respiratory Distress Syndrome
CID000006691,CID000060854,C0043094,weight gain
CID000006691,CID000059708,C0008325,cholecystitis
CID000006691,CID000027661,C0017152,gastric inflammation
CID000006691,CID000160051,C0014866,esophageal stenosis
CID000006691,CID000077993,C0020443,elevated cholesterol
CID000006691,CID000012536,C0041834,erythema
CID000006691,CID005493381,C0026986,myelodysplasia
CID000006691,CID000060184,C0008320,cholecystectomies
CID000006691,CID000072938,C0041834,erythema
CID000006691,CID000087177,C0497156,Adenopathy
CID000006691,CID000056959,C0522055,abnormal ECG
CID000006691,CID000019090,C0041834,erythema
CID000006691,CID000443871,C0497156,Adenopathy
CID000006691,CID000047725,C0043096,loss of weight
CID000006691,CID006436173,C0043096,loss of weight
CID000006691,CID000508230,C0522055,abnormal ECG
CID000006691,CID000008953,C0002064,respiratory alkalosis
CID000006691,CID004475485,C0004604,Back Ache
CID000006691,CID000068844,C0027441,nasopharyngitis
CID000006691,CID000038904,C0017152,gastric inflammation
CID000006691,CID000093860,C0017152,gastric inflammation
CID000006691,CID000091270,C0004601,back injury
CID000006691,CID005311039,C0019158,hepatitis
CID000006691,CID000057469,C0038454,apoplexy
CID000006691,CID000197712,C0008325,cholecystitis
CID000006691,CID000060865,C0018099,gout
CID000006691,CID000047320,C0040034,thrombocytopenia
CID000006691,CID000213039,C0027121,muscle inflammation
CID000006691,CID000027686,C0038454,apoplexy
CID000006691,CID000060871,C0038002,enlarged spleen
CID000006691,CID000060877,C0017152,gastric inflammation
CID000006691,CID005362070,C0039231,heart rate increased
CID000006691,CID000054688,C0235527,right heart failure
CID000006691,CID000060198,C0041834,erythema
CID000006691,CID000016231,C0024141,disseminated lupus erythematosus
CID000006691,CID005353980,C0235527,right heart failure
CID000006691,CID000110635,C0017152,gastric inflammation
CID000006691,CID000150310,C0522055,abnormal ECG
CID000006691,CID005311297,C0008325,cholecystitis
CID000006691,CID000667490,C0043096,loss of weight
CID000006691,CID000034312,C0041834,erythema
CID000006691,CID000060612,C0035222,Acute Respiratory Distress Syndrome
CID000006691,CID000071158,C0040034,thrombocytopenia
CID000006691,CID000057537,C0011168,deglutition disorder
CID000006691,CID000041317,C0023798,lipoma
CID000006691,CID000151165,C0027441,nasopharyngitis
CID000006691,CID000028112,C0017152,gastric inflammation
CID000006691,CID000125889,C0026986,myelodysplasia
CID000006691,CID000176870,C0043096,loss of weight
CID000006691,CID000048175,C0038454,apoplexy
CID000006691,CID000056339,C0151611,abnormal EEG
CID000006691,CID000104741,C0041834,erythema
CID000006691,CID000054547,C0038454,apoplexy
CID000006691,CID005481350,C0497156,Adenopathy
CID000006691,CID000124087,C0341858,adenomyosis
CID000006691,CID006398970,C0017152,gastric inflammation
CID000006691,CID003062316,C0235527,right heart failure
CID000006691,CID000125017,C0013604,edema
CID000006691,CID005311082,C0085631,agitated
CID000006691,CID000054841,C0151611,abnormal EEG
CID000006691,CID000077999,C0008320,cholecystectomies
CID000006691,CID003081884,C0043096,loss of weight
CID000006691,CID000060147,C0267596,haemorrhage rectum
CID000006691,CID004659568,C0014742,erythema multiforme
CID000006691,CID000104865,C0497156,Adenopathy
CID000006691,CID000032797,C0497156,Adenopathy
CID000006691,CID000072054,C0085635,flashing lights
CID000006691,CID000024011,C0017152,gastric inflammation
CID000006691,CID000041774,C0013362,dysarthria
CID000006691,CID003002190,C0031154,peritonitis
CID000006691,CID000115237,C0231528,aching muscles
CID000006691,CID005281007,C0015230,eruption
CID000006691,CID000216239,C0497156,Adenopathy
CID000006691,CID000013342,C0017152,gastric inflammation
CID000005478,CID000019090,C0043096,loss of weight
CID000005478,CID000077999,C0497156,Adenopathy
CID000005478,CID000027661,C0043096,loss of weight
CID000005478,CID000005656,C0011615,allergic dermatitis
CID000005478,CID000005512,C0043096,loss of weight
CID000005478,CID000005651,C0015230,eruption
CID000005478,CID000068844,C0750426,increased white blood cell count
CID000005478,CID000005523,C0231807,Dyspnea exertional
CID000005478,CID000110635,C0020443,elevated cholesterol
CID000005478,CID000068740,C0043096,loss of weight
CID000005478,CID000197712,C0034065,Embolism pulmonary
CID000005478,CID000054808,C0043094,weight gain
CID000005478,CID005311027,C0497156,Adenopathy
CID000005478,CID000038904,C0085605,Hepatic failure
CID000005478,CID000005514,C0013221,drug toxicity NOS
CID000005478,CID000154059,C0040034,thrombocytopenia
CID000005478,CID000005735,C0011168,deglutition disorder
CID000005478,CID000005732,C0017152,gastric inflammation
CID000005478,CID000119607,C0231807,Dyspnea exertional
CID000005478,CID000005647,C0038454,apoplexy
CID000005478,CID000093860,C0043096,loss of weight
CID000005478,CID005281007,C0149725,Chest infection
CID000005478,CID000087177,C0015230,eruption
CID000005478,CID000041774,C0020456,hyperglycaemia
CID000005478,CID000034312,C0038454,apoplexy
CID000005478,CID004475485,C0042384,angiitis
CID000005478,CID000054688,C0017152,gastric inflammation
CID000005478,CID000060835,C0015230,eruption
CID000005478,CID000060164,C0151908,dry skin
CID000005478,CID000059708,C0151611,abnormal EEG
CID000005478,CID005311297,C0011168,deglutition disorder
CID000005478,CID000125889,C0015230,eruption
CID000005478,CID000041781,C0497247,arterial pressure NOS increased
CID000005478,CID000065999,C0040034,thrombocytopenia
CID000005478,CID005353980,C0015230,eruption
CID000005478,CID000060831,C0007642,cellulitis
CID000005478,CID000123620,C0015230,eruption
CID000005478,CID000060147,C0151611,abnormal EEG
CID000003937,CID000060871,C0040034,thrombocytopenia
CID000003937,CID000123620,C1510431,Superficial thrombophlebitis
CID000003937,CID000005195,C0017152,gastric inflammation
CID000003937,CID000004485,C0025637,methaemoglobinaemia
CID000003937,CID000041781,C0026986,myelodysplasia
CID000003937,CID000005426,C0008325,cholecystitis
CID000003937,CID000059708,C0004604,Back Ache
CID000003937,CID005481350,C0497156,Adenopathy
CID000003937,CID000004856,C0017152,gastric inflammation
CID000003937,CID000667490,C0043096,loss of weight
CID000003937,CID000054374,C0497156,Adenopathy
CID000003937,CID000004409,C0017152,gastric inflammation
CID000003937,CID000154059,C0013362,dysarthria
CID000003937,CID000005523,C0017152,gastric inflammation
CID000003937,CID000005672,C0043096,loss of weight
CID000003937,CID000024486,C0043096,loss of weight
CID000003937,CID000005533,C0004601,back injury
CID000003937,CID000104741,C0043096,loss of weight
CID000003937,CID000005352,C0017152,gastric inflammation
CID000003937,CID000004064,C0013491,ecchymoses
CID000003937,CID000005731,C0020443,elevated cholesterol
CID000003937,CID000005732,C0497156,Adenopathy
CID000003937,CID000005717,C0011615,allergic dermatitis
CID000003937,CID000004927,C0008325,cholecystitis
CID000003937,CID000027661,C0017152,gastric inflammation
CID000003937,CID000123606,C0043096,loss of weight
CID000003937,CID000004771,C0038454,apoplexy
CID000003937,CID000005746,C0032290,aspiration pneumonia
CID000003937,CID000150310,C0027441,nasopharyngitis
CID000003937,CID000087177,C0041834,erythema
CID000003937,CID000005472,C0043096,loss of weight
CID000003937,CID000004112,C0017152,gastric inflammation
CID000003937,CID000004159,C0017152,gastric inflammation
CID000003937,CID000125889,C0004601,back injury
CID000003937,CID000004634,C0008320,cholecystectomies
CID000003937,CID000027686,C0002170,alopecia
CID000003937,CID000151165,C0043096,loss of weight
CID000003937,CID005311181,C0043094,weight gain
CID000003937,CID000004195,C0011615,allergic dermatitis
CID000003937,CID000005212,C0004601,back injury
CID000003937,CID000005647,C0497156,Adenopathy
CID000003937,CID000065027,C0038525,subarachnoid haemorrhage
CID000003937,CID003085017,C0026986,myelodysplasia
CID000003937,CID000176870,C0702166,Acne
CID000003937,CID000068740,C0017152,gastric inflammation
CID000003937,CID000004264,C0011615,allergic dermatitis
CID000003937,CID000004547,C0041834,erythema
CID000003937,CID000004091,C0008325,cholecystitis
CID000003937,CID000005245,C0497156,Adenopathy
CID000003937,CID000056959,C0004144,atelectasis
CID000003937,CID005311297,C0235527,right heart failure
CID000003937,CID000032797,C0426636,defaecation urgency
CID000003937,CID000004834,C0041834,erythema
CID000003937,CID000077999,C0034886,proctalgia
CID000003937,CID000077993,C0017152,gastric inflammation
CID000003937,CID000005078,C1510431,Superficial thrombophlebitis
CID000003937,CID000005077,C0151636,Extrasystoles Ventricular
CID000003937,CID000005070,C0035222,Acute Respiratory Distress Syndrome
CID000003937,CID000060843,C0043096,loss of weight
CID000003937,CID000093860,C0041834,erythema
CID000003937,CID000060787,C0497156,Adenopathy
CID000003937,CID005281007,C0015230,eruption
CID000003937,CID000004666,C0497156,Adenopathy
CID000003937,CID000160051,C0043096,loss of weight
CID000003937,CID000054808,C0038454,apoplexy
CID000003937,CID000004463,C0043096,loss of weight
CID000003937,CID000047725,C0013221,drug toxicity NOS
CID000003937,CID000005402,C0151632,elevated erythrocyte sedimentation rate
CID000003937,CID000005401,C0016665,fracture nonunion
CID000003937,CID000110635,C0012569,Diplopia
CID000003937,CID005493381,C0522055,abnormal ECG
CID000003937,CID000148211,C0013221,drug toxicity NOS
CID000003937,CID000004058,C0017152,gastric inflammation
CID000003937,CID003062316,C0004144,atelectasis
CID000003937,CID000004158,C0017152,gastric inflammation
