drug_1_name,drug_2_name,drug_1_SMILES,drug_2_SMILES,molecular_interaction,mechanism,evidence,severity
Fentanyl,Ticlopidine,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,Pi-Pi Stacking,"Aromatic rings in both molecules can align with one another, allowing for overlapping π-orbitals. This interaction is stabilized by the electron clouds of the aromatic systems.","SMILES 1 contains two phenyl rings (C2=CC=CC=C2 and C3=CC=CC=C3). SMILES 2 contains a phenyl ring (C3=CC=CC=C3), which can interact with the phenyl rings in SMILES 1.","Moderate - Pi-Pi stacking can influence binding affinity in biological systems, potentially altering drug efficacy or interaction with other molecules."
Ibuprofen,Midodrine,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,Hydrogen Bonding,The hydroxyl group (-OH) in SMILES 2 can form a hydrogen bond with the carboxylic acid group (-C(=O)O) in SMILES 1.,"- In SMILES 1, the carboxylic acid group is represented by C(=O)O, which can act as a hydrogen bond donor or acceptor.
- In SMILES 2, the hydroxyl group (C(CNC(=O)CN)O) can donate a hydrogen bond.","Moderate - A hydrogen bond interaction could affect the pharmacological behavior, potentially altering solubility or binding to biological targets."
Carvedilol,Ranolazine,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,Hydrogen Bonding,Hydrogen bonding may occur between the ether oxygen atoms (O) or nitrogen atoms (N) from one SMILES and hydrogen donors like hydroxyl (OH) groups from the other.,"In SMILES 1, the presence of an ether oxygen (O) and a hydroxyl group (OH) in the chain can serve as potential sites for hydrogen bonding. In SMILES 2, there is a hydroxyl group (OH) on an aliphatic chain which can act as a hydrogen donor.","Moderate - While hydrogen bonds are relatively weak individually, they can still play a significant role in stabilizing interactions, particularly if multiple sites are involved."
Fentanyl,Adapalene,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,π-π Stacking,"This interaction occurs when two aromatic rings face each other in a parallel or offset manner, allowing the π-electron clouds to overlap and stabilize the molecules relative to each other.","SMILES 1 contains two aromatic phenyl rings, indicated by `C3=CC=CC=C3` and `CCC2=CC=CC=C2`. SMILES 2 also contains multiple aromatic rings, specifically the `C1=C(C=CC=C1)` and `C2=CC=CC=C2` within the overall structure, allowing for potential π-π stacking interactions between these rings.",Moderate - Aromatic π-π stacking can significantly influence binding affinities and orientations in drug-protein or drug-drug interactions but often do not establish or break complexation on their own under physiological conditions.
alendronic acid,Pyridostigmine,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,Hydrogen Bonding,"Hydrogen bonds can form between hydrogen donors and acceptors. In SMILES 1, the phosphonate group contains oxygen atoms that can act as hydrogen bond acceptors. The amine nitrogen in the same SMILES can potentially donate a hydrogen. In SMILES 2, the amide nitrogen is a potential hydrogen bond donor through its attached hydrogens, and the carbonyl oxygen is a hydrogen bond acceptor. These functional groups allow for the possibility of hydrogen bonding between the two molecules.","- SMILES 1 contains phosphonate groups: P(=O)(O)O, which includes oxygen atoms that can participate in hydrogen bonding. 
- The carbonyl group in SMILES 2: OC(=O) provides an H-bond acceptor (oxygen).
- SMILES 2 includes an N-C bond in the amide, which likely provides hydrogen atoms for donation.","Moderate - Hydrogen bonds can stabilize interactions but are typically weaker than ionic interactions, thus moderately influencing pharmacological behavior depending on the context and specific placements."
Ciclopirox,hydroxychloroquine,CC1=CC(=O)N(C(=C1)C2CCCCC2)O,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,Hydrogen Bonding,"Hydrogen bonding can occur between a hydrogen donor, such as a hydrogen atom attached to electronegative atoms like nitrogen or oxygen, and a hydrogen acceptor, such as a lone pair on a nitrogen or oxygen atom.","SMILES 1 contains an N-O group (-N(C)O) that could act as both a hydrogen bond donor (NH) and acceptor (O). SMILES 2 includes an amine group (NC) which could act as a hydrogen bond donor, and an ether group (CCO), where the oxygen can serve as an acceptor. This suggests potential hydrogen bond interactions between these functional groups.","Moderate - While hydrogen bonding is typical and often facilitates drug binding to proteins or other drug molecules, it usually doesn't imply severe pharmacological impacts unless influencing critical binding sites."
Ofloxacin,thiotepa,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,C1CN1P(=S)(N2CC2)N3CC3,Electrostatic interaction,"The presence of a phosphorothioate group in SMILES 2 (P(=S)(N2CC2)N3CC3) may interact electrostatically with the carbonyl oxygen atoms in SMILES 1, which are present in the ester and ketone groups.","In SMILES 1, the ester group is represented by ""C(=O)O"" and the ketone by ""C(=O)"", both containing carbonyl oxygen atoms. In SMILES 2, the phosphorothioate group (P=O analogue with sulfur) is a known electrophilic center that can engage in electrostatic interactions with negatively charged acceptors like carbonyl groups.",Moderate - Electrostatic interactions can influence the pharmacokinetic or pharmacodynamic properties of drugs but typically are not as strong as covalent interactions.
Alprazolam,Doxazosin,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,Hydrogen Bonding,"The second SMILES string contains a hydroxyl (-OH) group, which is a potential hydrogen bond donor, and the first SMILES string contains several nitrogen atoms in the pyrazole and pyrimidine rings, which can act as hydrogen bond acceptors.","- SMILES 1 contains nitrogen atoms in the pyrazole and pyrimidine rings, represented by 'N'.
- SMILES 2 contains a hydroxyl group, represented by 'O' in the context of C4=CC=CC=C5O4.","Moderate - Hydrogen bonds can play significant roles in molecular interactions that might affect the pharmacokinetic properties like solubility or binding to certain proteins, but they don't necessarily lead to drastic pharmacological impact without further context."
Amlodipine,vincristine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,Hydrogen Bonding,"Hydrogen bonding can occur between hydrogen atom donors and acceptors, such as electronegative atoms with lone pairs and hydrogen atoms attached to electronegative atoms.","In SMILES 1, the carbonyl oxygen atoms (C=O) and the nitrogen atom in the ""NC"" group can act as hydrogen bond acceptors. In SMILES 2, the amine nitrogen (N) in the ""N3"" group, and hydroxyl groups (O) can potentially donate or accept hydrogen bonds.","Moderate - This potential interaction could affect drug binding or solubility under physiological conditions, possibly altering drug potency or bioavailability."
Cimetidine,Palonosetron,CC1=C(N=CN1)CSCCNC(=NC)NC#N,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,Hydrogen Bonding,"The nitrogen atoms in compound one can act as hydrogen bond acceptors. The oxygen in the carbonyl group (C=O) in compound two can act as a hydrogen bond acceptor, and any nearby hydrogen in an appropriate configuration within physiological conditions could interact with nitrogen atoms.","SMILES 1 contains nitrogen atoms in groups such as ""N=CN"" and ""NC#N"", which are capable of participating in hydrogen bonding. SMILES 2 includes a carbonyl group ""C(=O)"", which often plays a role in hydrogen bonding interactions.",Moderate - Hydrogen bonding can potentially influence the pharmacological properties and solubility of drug molecules.
Diazepam,Fenofibrate,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,π-π Stacking,"π-π stacking occurs due to the aromatic rings in both structures potentially engaging in non-covalent interactions, which are prevalent under physiological conditions. These interactions arise due to favorable overlapping of the electron clouds of the aromatic systems.","- SMILES 1 contains a benzene ring as part of the quinazolinone structure: C3=CC=CC=C3
- SMILES 2 has two phenyl rings: OC1=CC=C(C=C1) and C2=CC=C(C=C2)Cl","Moderate - π-π stacking can affect the binding properties of the molecules, potentially altering their pharmacokinetics or bioavailability but generally are not as critical as covalent or ionic interactions."
Naproxen,Ketoprofen,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,π-π Stacking,"π-π stacking occurs when aromatic rings interact with each other through their π-electron clouds, which can lead to stabilization due to sharing of electron density and alignment of electron clouds.","Both SMILES strings have phenyl rings:
- SMILES 1 contains ""C1=CC2=C(C=C1)C=C(C=C2)"", which is a naphthalene structure (fused benzene rings).
- SMILES 2 contains ""C1=CC(=CC=C1)C(=O)C2=CC=CC=C2"", indicating a single phenyl ring.","Moderate - π-π stacking can influence binding affinity in some biological contexts, but it depends on the environment and specific binding sites involved."
Lamotrigine,Pilocarpine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,CCC1C(COC1=O)CC2=CN=CN2C,Hydrogen Bonding,A potential hydrogen bond interaction may occur between the amine group in the first molecule and the carbonyl oxygen in the second molecule.,"In SMILES 1, the group ""N"" (which is part of the triazole moiety at C2) can act as a hydrogen donor. In SMILES 2, the ""C=O"" in the ""COC1=O"" part of the oxolane ring can act as a hydrogen bond acceptor due to the electronegative oxygen.",Moderate - This interaction could influence the orientation or binding conformation of the molecules if they are in proximity under physiological conditions.
Citalopram,Ranolazine,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,Electrostatic Interaction,"The presence of a cyano group (C#N) in SMILES 1 indicates a possible electrostatic interaction with positively charged or polar regions. In SMILES 2, the secondary amine group in the tertiary amine (CCN) region might interact with the partially negative nitrogen of the cyano group.","- SMILES 1 contains a cyano group: C#N
- SMILES 2 contains a tertiary amine: CN2CCN","Moderate - While electrostatic interactions can have significant effects on binding affinity and drug activity, the impact will depend on spatial alignment and other surrounding groups facilitating interaction."
Metronidazole,Duloxetine,CC1=NC=C(N1CCO)[N+](=O)[O-],CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,π-π Stacking Interaction,SMILES 1 contains an aromatic ring (pyridazine) and SMILES 2 contains an aromatic naphthalene structure. Aromatic rings can participate in π-π stacking interactions due to the delocalized electrons in their π-systems.,"In SMILES 1, the group ""C1=NC=C(N1)"" forms an aromatic pyridazine ring. In SMILES 2, the ""C2=CC=CC3=CC=CC=C32"" represents a fused aromatic naphthalene system.",Moderate - Such interactions could influence the pharmacokinetic properties by potentially altering receptor binding or facilitating aggregation in solution.
Sibutramine,Zolpidem,CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,π-π Stacking,"π-π interactions occur between aromatic rings in proximity, allowing for stacking interactions due to delocalized electron clouds.","Both SMILES contain phenyl rings. In SMILES 1, the phenyl ring is represented by `C2=CC=C(C=C2)`. In SMILES 2, the phenyl ring is represented by `CC1=CC=C(C=C1)`.","Moderate - π-π stacking can influence molecular stability and drug activity, affecting pharmacodynamics."
Tramadol,Exemestane,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,Steric Clash,"A steric clash is likely due to both molecules having large, bulky groups that could physically interfere with each other when brought into proximity under physiological conditions.","- SMILES 1 contains a bulky cyclohexane ring attached to an aromatic methoxyphenyl group.
- SMILES 2 contains a bicyclic structure with multiple stereocenters and a fused aromatic ring, contributing to its bulky nature.","Moderate - Steric clashes can impact binding affinity or orientation in a binding pocket, potentially altering efficacy or metabolism."
Diazepam,Doxazosin,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,π-π Stacking,"π-π stacking occurs between aromatic rings when they are in proximity, allowing for interactions between their π-electron clouds. This type of non-covalent interaction can impact the overall structure and stability in a biological setting.",SMILES 1 contains a benzene ring component (C3=CC=CC=C3) and SMILES 2 also contains an aromatic benzene system in its structure. These aromatic systems facilitate π-π stacking interactions.,"Moderate - π-π interactions can influence drug binding to targets and alter pharmacokinetics, affecting potency or efficacy."
acetazolamide,Lidocaine,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,Hydrogen Bonding,"Hydrogen bonding can occur between a hydrogen bond donor and an acceptor. In SMILES 1, the sulfonamide group (S(=O)(=O)N) has oxygens that can act as hydrogen bond acceptors. In SMILES 2, the amide group (NC(=O)) contains a hydrogen that can act as a bond donor.","SMILES 1 contains an SO2 group capable of accepting hydrogen bonds. SMILES 2 has an NH group in the amide (NC(=O)), which can donate a hydrogen for bonding.","Moderate - Hydrogen bonding can influence drug solubility and binding interactions, potentially altering pharmacokinetics or pharmacodynamics."
Fluorouracil,vincristine,C1=C(C(=O)NC(=O)N1)F,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,Hydrogen Bonding,Hydrogen bonds can form between a hydrogen atom attached to a highly electronegative atom (such as oxygen or nitrogen) in one molecule and a lone pair of electrons on a highly electronegative atom in another molecule.,"In SMILES 1, we have a carbonyl group (C=O) adjacent to a nitrogen, part of the urea moiety (C(=O)NC(=O)N). In SMILES 2, the structure contains a number of carbonyl oxygens (C=O) that could potentially act as hydrogen bond acceptors, particularly at the ester and amide functionalities.","Moderate - While hydrogen bonding can significantly impact molecular interactions and drug activity, the precise pharmacological impact depends on the context within which the drugs are used or encountered with biological targets. The multiple possible hydrogen bonding sites suggest a reasonable likelihood of interaction under physiological conditions."
Fentanyl,desvenlafaxine,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,Hydrogen Bonding,"Hydrogen bonding can occur between a hydrogen bond donor and an acceptor. In this case, the hydroxyl (-OH) group on the second molecule (from SMILES 2) can act as a hydrogen bond donor, and the carbonyl (C=O) group on the first molecule (from SMILES 1) can act as a hydrogen bond acceptor.","SMILES 1 contains a carbonyl group [C(=O)], which is capable of accepting hydrogen bonds. SMILES 2 includes a hydroxyl group [C(C)(O)], which can donate hydrogen bonds to the carbonyl oxygen.","Moderate - Hydrogen bonding is a significant interaction that can impact pharmacological action, such as altering binding affinity, solubility, or stability of drug-drug interactions under physiological conditions."
Risedronic acid,Perindopril,C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O,Hydrogen Bonding,A potential hydrogen bond interaction could occur between the oxygen atoms of the phosphonic acid groups in SMILES 1 and the hydrogen atoms of the amide NH groups in SMILES 2.,"- In SMILES 1, there are two phosphonic acid groups (P(=O)(O)O), each containing oxygens capable of acting as hydrogen bond acceptors.
- In SMILES 2, there are amide NH groups (NC(C)C(=O)) which can donate hydrogen atoms for hydrogen bonding.","Moderate - Since hydrogen bonds can contribute to drug-drug interactions, particularly in the presence of multiple binding groups, this could influence the pharmacokinetics or dynamics slightly."
Candesartan,Amiloride,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,Hydrogen Bonding,"Hydrogen bonding can occur between the hydrogen bond donors and acceptors present in the two molecules. In SMILES 1, there is a carboxylic acid group (-C(=O)O) which can act as a hydrogen bond acceptor, and in SMILES 2, there are several amine groups (-NH2) that can act as hydrogen bond donors.","In SMILES 1, the carboxylic acid group C(=O)O has an oxygen atom capable of accepting hydrogen bonds. In SMILES 2, the amine group N, which is part of the guanidine moiety (=N)N, can donate hydrogen atoms for bonding.","Moderate - While hydrogen bonding can influence stability and solubility, the overall pharmacological impact will depend on the context of the drug-target interaction."
Cetirizine,Sildenafil,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,Hydrogen Bonding,The hydrogen bond can occur between the oxygen in the ester group (C=O) of SMILES 1 and the hydrogen bond acceptor atom in the sulfonamide group (S(=O)(=O)N) of SMILES 2.,"- SMILES 1 contains the ester group: (OCC(=O)O).
- SMILES 2 contains the sulfonamide group: (S(=O)(=O)N).
Both groups contain electronegative oxygen atoms that can participate in hydrogen bond interactions.","Moderate - While hydrogen bonds can contribute significantly to drug interaction, their actual pharmacological impact depends on the context of drug-receptor interactions and concentration."
Benazepril,Terazosin,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,Hydrogen bonding,"The first molecule contains a carboxylic acid group (-C(=O)O), which can act as a hydrogen bond donor or acceptor. The second molecule has a secondary amine group in the morpholine ring (N3CCN(CC3)), which can act as a hydrogen bond acceptor.","From SMILES 1, the terminal ""-C(=O)O"" indicates a carboxylic acid group which can donate a hydrogen for bonding. From SMILES 2, ""N3CCN(CC3)"" represents the presence of a secondary amine, which is known to accept hydrogen bonds from donors.",Moderate - The interaction between these polar functional groups could affect the pharmacokinetics or binding interactions of the drugs.
nevirapine,Ofloxacin,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,Hydrogen Bonding,"A hydrogen bond can occur between a hydrogen donor and an acceptor. In SMILES 1, the NH group in the amide moiety serves as a hydrogen donor. In SMILES 2, the carbonyl oxygen in the methoxycarbonyl group or the ketone group can serve as a hydrogen acceptor.","- SMILES 1: The group ""C(=O)N"" indicates a possible NH donor site.
- SMILES 2: The ""C(=O)O"" and ""C(=O)"" indicate possible oxygen acceptor sites.","Moderate - Potential for moderate pharmacological impact due to stabilizing interaction, which might affect the pharmacokinetics or binding profile under certain conditions."
Gabapentin,Thalidomide,C1CCC(CC1)(CC(=O)O)CN,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,Hydrogen Bonding,"A hydrogen bond can form between a hydrogen bond donor and a hydrogen bond acceptor. In SMILES 1, the compound has an amine group (-NH2), which can act as a hydrogen bond donor. In SMILES 2, there are multiple carbonyl groups (C=O), which can act as hydrogen bond acceptors. The interaction is possible between the NH group of SMILES 1 and one of the carbonyl oxygens in SMILES 2.","SMILES 1 contains 'CN', indicating a terminal amine group, while SMILES 2 contains multiple 'C=O' functionalities indicating carbonyl groups.",Moderate - This interaction is common under physiological conditions and may influence how the two molecules associate or affect each other's biological activity.
Alfuzosin,Famotidine,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,Hydrogen Bonding,"Hydrogen bonds can form between donor and acceptor sites, such as NH and carbonyl (C=O) or nitrogen (N) groups in one molecule interacting with suitable acceptors or donors in the other.","- SMILES 1 contains amine groups (e.g., NCCC) and a carbonyl group (C=O on C1CCCO1).
- SMILES 2 contains several donor sites such as NH groups (e.g., N=C(N)N) and acceptor sites such as the S=O group (NS(=O)(=O)N).","Moderate - Hydrogen bonds can slightly affect molecular binding and interaction, potentially impacting pharmacological profiles, but they are typically weaker than covalent bonds."
Famotidine,Repaglinide,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,Hydrogen Bonding,"Hydrogen bonding occurs when a hydrogen atom, bound to a highly electronegative atom like nitrogen or oxygen, interacts with another electronegative atom. In these molecules, there are potential donors and acceptors capable of forming hydrogen bonds.","- SMILES 1 contains several nitrogen atoms in amino groups (e.g., ""N=C(N)N"") that can act as hydrogen bond donors or acceptors.
- SMILES 2 includes a carboxyl group (""C(=O)O"") and carbonyl groups (""C(=O)"") that can act as hydrogen bond acceptors.","Moderate - The ability to form hydrogen bonds can impact the binding affinity and solubility of compounds, affecting their pharmacological properties. However, the overall impact depends on their interaction context within biological systems."
Temazepam,Zolpidem,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,π-π Stacking,"π-π stacking interactions occur when aromatic rings align in a parallel or offset parallel orientation, allowing for overlapping π-electron clouds which stabilize the interaction.","SMILES 1 contains a phenyl ring (C3=CC=CC=C3), and SMILES 2 contains two aromatic systems: a phenyl ring (CC1=CC=C(C=C1)) and a heteroaromatic ring (C2=C(N3C=C(C=CC3=N2))). The presence of these aromatic rings in both structures suggests the potential for π-π stacking interactions.","Moderate - Such interactions can stabilize or promote binding between two molecules in close proximity, impacting their pharmacokinetics or dynamics."
Alprazolam,Benazepril,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,Hydrogen Bonding,"Hydrogen bonding can occur between hydrogen bond donors and acceptors. In SMILES 1, the nitrogen atoms in the heterocyclic rings (N in NN=C and N in N1C2 and NC2) can act as hydrogen bond acceptors. In SMILES 2, the NH group in the carbamate linkage (NC2CCC) can act as a hydrogen bond donor.",SMILES 1 contains nitrogen atoms that are potential hydrogen bond acceptors. SMILES 2 contains an NH group as a hydrogen bond donor.,"Moderate - If hydrogen bonding occurs, it may affect binding affinity or solubility, potentially impacting pharmacological interactions between the drugs."
phenytoin,Fosphenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3,Hydrogen Bonding,"Hydrogen bonding can occur between hydrogen donors (e.g., NH groups) and acceptors (e.g., C=O groups). In both structures, there are amide groups capable of such interaction.","SMILES 1 and SMILES 2 both contain amide groups (-C(=O)N-) that can participate in hydrogen bonding: the nitrogen can donate hydrogen, and the carbonyl oxygen can accept hydrogen from another molecule.",Moderate - Hydrogen bonding can influence molecular recognition and stability of complexes under physiological conditions.
Furosemide,hydralazine,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,C1=CC=C2C(=C1)C=NN=C2NN,Hydrogen Bond Donor-Acceptor Interaction,"The hydroxyl group of the carboxylic acid in SMILES 1 can act as a hydrogen bond donor, and the nitrogen atoms in the pyrazole ring of SMILES 2 can act as hydrogen bond acceptors.","- SMILES 1 contains the group C(=O)O, where the hydroxyl oxygen can donate a hydrogen bond.
- SMILES 2 contains a pyrazole ring (C=NN=C) with nitrogen atoms capable of accepting hydrogen bonds.","Moderate - This interaction can influence binding affinity, but its overall pharmacological impact depends on the context of the drug environment and the intrinsic properties of the full molecules."
Famotidine,Sildenafil,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,Hydrogen Bonding,"The interaction between a hydrogen bond donor and a hydrogen bond acceptor occurs when specific functional groups are in proximity, facilitating the sharing of a hydrogen atom.","In SMILES 1, the sulfonamide group (S(=O)(=O)N) contains oxygen atoms which can act as hydrogen bond acceptors. In SMILES 2, the NH group within the triazole provides a hydrogen bond donor capability due to the hydrogen on the nitrogen.",Moderate - Such interactions could modulate binding affinity and pharmacokinetics if both drugs were present simultaneously in a physiological environment.
Amlodipine,Pamidronic acid,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,Hydrogen Bonding,"Hydrogen bonding can occur between hydrogen bond donors (e.g., -NH or -OH groups) and hydrogen bond acceptors (e.g., carbonyl oxygen, -O-, or phosphate oxygen groups).","SMILES 1 contains an amine group (COCCN) that can act as a hydrogen bond donor, and SMILES 2 contains multiple phosphate groups (P(=O)(O)O) with oxygen atoms that can serve as hydrogen bond acceptors.",Moderate - Hydrogen bonds can significantly impact the stability and conformation of molecular complexes and potentially affect pharmacological properties.
alendronic acid,Lamivudine,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,Hydrogen Bonding,"Hydrogen bonds can form between hydrogen bond donors and acceptors. In SMILES 1, the hydroxyl groups and the phosphoric acid groups (-P(=O)(O)O) can act as hydrogen bond donors or acceptors. In SMILES 2, the carbonyl group (C=O) and the secondary amine (N-H in the pyrimidine ring) can participate in hydrogen bonding.","SMILES 1 contains hydroxyl and phosphoric groups indicative of potential hydrogen bond donors and acceptors. SMILES 2 contains a carbonyl group (C=O) and a secondary amine (N-H), which can accept and donate hydrogen bonds, respectively.",Moderate - such hydrogen bonds are common and can slightly alter the pharmacokinetic or pharmacodynamic profiles by changing solubility or receptor binding affinity.
Gabapentin,Ibuprofen,C1CCC(CC1)(CC(=O)O)CN,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Hydrogen Bond,"The carboxylic acid group from SMILES 2 can donate a hydrogen to the nitrogen in the amine group from SMILES 1, forming a hydrogen bond.",SMILES 1 contains an amino group (CN) which can act as a hydrogen bond acceptor. SMILES 2 contains a carboxylic acid group (C(=O)O) which can donate a hydrogen atom.,Moderate - This interaction can influence drug binding affinity or alter solubility and pharmacokinetic properties.
Duloxetine,Sorafenib,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,Hydrogen Bonding,"Hydrogen bonding can occur between hydrogen bond donors and acceptors. In SMILES 1, the ether oxygen (OC) on the aromatic ring is capable of acting as a hydrogen bond acceptor. In SMILES 2, the secondary amine (CNC(=O)) and amide groups (NC(=O)) contain hydrogen atoms that can act as possible donors for hydrogen bonding.","- SMILES 1: OC2=CC=CC3=CC=CC=C32 (ether oxygen)
- SMILES 2: CNC(=O), NC(=O) (hydrogens on nitrogen)",Moderate - Hydrogen bonding influences drug solubility and binding affinity but does not typically prevent drug activity by itself. This interaction may affect solubility or binding properties but is not necessarily disruptive.
Gabapentin,Palonosetron,C1CCC(CC1)(CC(=O)O)CN,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,Hydrogen Bond (H-bond) formation,"A hydrogen bond could form between the amine group (-NH2) of SMILES 1 and the carbonyl oxygen in the cyclic structure of SMILES 2. The hydrogen atom of the amine could be a hydrogen bond donor, and the carbonyl oxygen is a potential hydrogen bond acceptor.","SMILES 1 contains a primary amine group as evidenced by ""CN"" (where the nitrogen can be protonated to NH2 under physiological conditions). SMILES 2 contains a carbonyl group ""C(=O)"" within a bicyclic system that can participate in hydrogen bonding.","Moderate - Hydrogen bonds are moderate in strength and commonly influence the orientation and interaction of molecules, especially in drug-protein and drug-drug interactions."
